Actual,Predicted
6371.61,6371.609999999999
4595.0,4594.999999999999
9178.47,9178.469999999998
4135.5,4135.499999999999
2337.1600000000003,2337.160000000002
5111.179999999999,5111.1799999999985
78.87,78.87000000000126
7648.64,7648.639999999999
986.55,986.5500000000025
5394.56,5394.559999999998
184.69,184.69000000000005
722.36,722.360000000001
2836.38,2836.38
41.5,41.50000000000091
6794.26,6794.26
1643.19,1643.1900000000053
823.82,823.8200000000029
7615.73,7615.729999999998
1621.47,1621.4700000000041
4296.13,4296.130000000003
2441.04,2441.0400000000022
2880.28,2880.2800000000025
2528.26,2528.2599999999998
1083.54,1083.5400000000013
7653.33,7653.329999999999
5441.47,5441.470000000001
207.5,207.49999999999818
961.09,961.0900000000001
3145.64,3145.6400000000003
5127.41,5127.41
3611.8,3611.799999999998
5546.400000000001,5546.4
3873.65,3873.649999999999
4289.71,4289.710000000004
1482.18,1482.1799999999987
2578.72,2578.720000000001
4175.64,4175.639999999999
2727.38,2727.3800000000024
11421.4,11421.399999999994
2415.65,2415.6500000000015
733.75,733.7500000000023
6847.76,6847.760000000002
4175.64,4175.6399999999985
4720.24,4720.24
2354.26,2354.260000000002
62.25,62.24999999999909
261.04,261.0400000000004
483.44,483.4400000000014
1855.84,1855.8399999999995
4066.37,4066.369999999999
6068.88,6068.880000000001
1378.5,1378.5
1288.53,1288.530000000003
2418.94,2418.9400000000023
2227.1,2227.1000000000004
535.53,535.530000000002
116.02,116.01999999999907
107.36,107.35999999999876
5538.33,5538.33
1838.0,1838.0000000000014
919.84,919.8400000000042
5504.87,5504.869999999997
2296.19,2296.1899999999982
1936.72,1936.720000000001
3256.4,3256.3999999999987
3375.45,3375.4500000000003
5913.81,5913.810000000001
3403.4300000000003,3403.430000000003
2541.0,2541.000000000002
159.31,159.31000000000176
361.18,361.1800000000012
883.5,883.5000000000018
3145.64,3145.6399999999976
1660.91,1660.910000000003
3371.6,3371.599999999998
83.0,82.99999999999818
3173.2900000000004,3173.29
2432.6,2432.6000000000004
769.77,769.7700000000013
1838.0,1838.0
1447.5300000000002,1447.5300000000032
1560.57,1560.5700000000004
7603.47,7603.469999999997
1936.36,1936.3599999999992
1006.0,1005.9999999999991
8095.610000000001,8095.610000000001
4135.5,4135.499999999999
3763.31,3763.3100000000013
6825.54,6825.540000000003
186.75,186.74999999999864
1503.42,1503.4200000000058
6417.400000000001,6417.400000000002
7164.35,7164.349999999999
3676.0,3676.0
5084.839999999999,5084.839999999998
4162.650000000001,4162.6500000000015
2801.3500000000004,2801.349999999999
888.84,888.8400000000029
494.06,494.05999999999995
209.35,209.35000000000036
967.44,967.440000000001
238.04,238.03999999999996
214.7,214.69999999999845
1430.4,1430.4000000000017
4710.74,4710.740000000001
10257.12,10257.119999999999
4251.73,4251.729999999998
777.9200000000001,777.9199999999978
3754.44,3754.44
115.56,115.56000000000131
3145.64,3145.6399999999976
838.08,838.0800000000004
8072.66,8072.659999999997
455.01,455.00999999999976
1057.33,1057.3300000000008
3210.05,3210.0500000000034
845.1400000000001,845.140000000003
3421.55,3421.550000000002
3210.07,3210.0699999999997
5449.450000000001,5449.449999999996
2452.67,2452.670000000003
1419.3000000000002,1419.3000000000015
4017.9,4017.8999999999987
1486.0400000000002,1486.0400000000022
4845.02,4845.019999999999
87.02,87.02000000000271
11488.5,11488.499999999996
4639.6,4639.599999999999
3250.62,3250.6199999999976
3863.97,3863.970000000002
1881.59,1881.5899999999992
4260.65,4260.65
4798.410000000001,4798.4100000000035
5504.87,5504.869999999997
537.95,537.949999999998
5504.87,5504.869999999997
236.37,236.37000000000035
7120.71,7120.709999999997
5548.23,5548.2300000000005
2279.36,2279.360000000002
361.18,361.18000000000256
1079.96,1079.9600000000014
1604.09,1604.0900000000015
3775.05,3775.050000000001
1643.39,1643.390000000005
2510.45,2510.45
2844.85,2844.8499999999995
5799.629999999999,5799.630000000002
919.0,919.0000000000045
11471.95,11471.95
4728.21,4728.209999999999
6106.57,6106.569999999998
4052.17,4052.170000000001
5394.56,5394.5599999999995
7644.94,7644.939999999998
174.05,174.04999999999973
5538.33,5538.330000000001
4655.92,4655.92
5969.2300000000005,5969.230000000001
1432.68,1432.6800000000019
257.96,257.9600000000014
9117.44,9117.439999999995
6910.49,6910.490000000002
2319.8,2319.799999999999
3707.37,3707.3700000000003
1976.24,1976.2399999999977
4732.68,4732.68
86.38,86.37999999999965
1487.94,1487.9399999999998
7120.71,7120.709999999999
2319.8,2319.7999999999984
1892.84,1892.8399999999995
5143.07,5143.0700000000015
4671.5,4671.499999999999
716.1300000000001,716.1300000000015
2400.2200000000003,2400.220000000003
166.0,166.00000000000045
4055.34,4055.3400000000015
3379.32,3379.3200000000033
1083.54,1083.5400000000013
3379.32,3379.3200000000006
141.54,141.53999999999996
5702.12,5702.120000000001
163.65,163.6500000000001
5582.36,5582.360000000001
4806.95,4806.95
1348.64,1348.6400000000003
1888.0,1887.9999999999998
1855.84,1855.8399999999976
2316.4,2316.3999999999983
5084.23,5084.2300000000005
988.12,988.119999999999
1892.9,1892.9000000000005
190.79,190.78999999999814
4558.72,4558.720000000001
1197.83,1197.8300000000022
3308.2,3308.2000000000003
7213.03,7213.030000000001
1961.46,1961.4600000000025
183.18,183.1800000000021
5597.76,5597.759999999999
1391.88,1391.8799999999985
7940.049999999999,7940.049999999998
42.16,42.160000000000764
5713.349999999999,5713.350000000001
9117.44,9117.439999999999
1083.54,1083.5400000000022
128.79,128.79000000000178
479.53,479.5300000000034
10300.53,10300.529999999999
1083.54,1083.5400000000018
211.15,211.14999999999782
1773.24,1773.2400000000048
1913.06,1913.0600000000015
2359.23,2359.2299999999996
1105.53,1105.5300000000007
8472.619999999999,8472.619999999999
1784.19,1784.1900000000003
303.81,303.81000000000176
1723.47,1723.4700000000034
674.32,674.3200000000011
1494.1,1494.0999999999979
11619.84,11619.839999999997
1448.19,1448.1899999999991
821.82,821.820000000002
5992.93,5992.930000000002
812.9200000000001,812.9200000000037
1391.88,1391.8799999999999
1427.74,1427.740000000002
4268.74,4268.739999999998
3328.42,3328.4199999999996
9219.39,9219.390000000001
2359.23,2359.2300000000005
1139.68,1139.6800000000035
988.12,988.119999999999
979.62,979.6200000000013
965.01,965.0100000000002
1391.53,1391.530000000002
258.76,258.75999999999976
4076.46,4076.4600000000005
1210.97,1210.9700000000034
3450.17,3450.1700000000014
489.6,489.6000000000008
4329.759999999999,4329.760000000004
6378.820000000001,6378.82
1139.68,1139.680000000004
4200.38,4200.379999999998
3367.59,3367.590000000001
2306.48,2306.4800000000005
997.67,997.6699999999978
284.22,284.2200000000007
1564.56,1564.5600000000013
5394.56,5394.559999999999
200.26,200.25999999999976
3278.6,3278.5999999999985
6797.63,6797.629999999995
2339.1600000000003,2339.16
1502.46,1502.4599999999987
6442.040000000001,6442.040000000003
4312.15,4312.1500000000015
3747.64,3747.6399999999994
1805.9,1805.8999999999999
2889.44,2889.4399999999987
4017.87,4017.8700000000003
3947.34,3947.3399999999974
83.0,82.99999999999727
2373.57,2373.5700000000024
289.47,289.46999999999935
1392.71,1392.7099999999998
8448.3,8448.299999999996
1748.23,1748.2300000000032
4825.9800000000005,4825.9800000000005
214.08,214.08000000000266
102.93,102.92999999999938
6398.18,6398.18
5880.57,5880.57
2800.51,2800.5100000000034
